box,date,time,pick_time
999,2014-01-07,22:33:15.264151,10963.531000
1000,2014-01-07,22:33:28.704991,13440.840000
1001,2014-01-07,22:33:39.564656,10859.665000
1002,2014-01-07,22:33:48.516401,8951.745000
1003,2014-01-07,22:33:59.201670,10685.269000
1004,2014-01-07,22:34:08.648556,9446.886000
1005,2014-01-07,22:34:18.465801,9817.245000
1006,2014-01-07,22:34:28.244367,9778.566000
1007,2014-01-07,22:34:38.970806,10726.439000
1008,2014-01-07,22:34:50.035898,11065.092000
1009,2014-01-07,22:34:59.221954,9186.056000
1010,2014-01-07,22:35:09.994426,10772.472000
1011,2014-01-07,22:35:18.895051,8900.625000
1012,2014-01-07,22:35:28.731713,9836.662000
1013,2014-01-07,22:35:38.674300,9942.587000
1014,2014-01-07,22:35:48.402891,9728.591000
1015,2014-01-07,22:35:57.767465,9364.574000
1016,2014-01-07,22:36:07.236001,9468.536000
1017,2014-01-07,22:36:17.451547,10215.546000
1018,2014-01-07,22:36:26.915224,9463.677000
1019,2014-01-07,22:36:37.275742,10360.518000
1020,2014-01-07,22:36:49.294947,12019.205000
1021,2014-01-07,22:37:00.406603,11111.656000
1022,2014-01-07,22:37:09.842943,9436.340000
1023,2014-01-07,22:37:18.794984,8952.041000
1024,2014-01-07,22:37:28.831244,10036.260000
1025,2014-01-07,22:37:38.169144,9337.900000
1026,2014-01-07,22:37:47.944414,9775.270000
1027,2014-01-07,22:38:00.487556,12543.142000
1028,2014-01-07,22:38:10.173296,9685.740000
1029,2014-01-07,22:38:19.138253,8964.957000
1030,2014-01-07,22:38:28.007627,8869.374000
1031,2014-01-07,22:38:37.543783,9536.156000
1032,2014-01-07,22:38:47.732805,10189.022000
1033,2014-01-07,22:38:57.764469,10031.664000
1034,2014-01-07,22:39:09.297630,11533.161000
1035,2014-01-07,22:39:19.265225,9967.595000
1036,2014-01-07,22:39:28.344814,9079.589000
1037,2014-01-07,22:39:37.189488,8844.674000
1038,2014-01-07,22:39:46.864423,9674.935000
1039,2014-01-07,22:39:56.246665,9382.242000
1040,2014-01-07,23:24:43.930628,11958.909000
1041,2014-01-07,23:24:58.408500,14477.872000
1042,2014-01-07,23:25:09.294043,10885.543000
1043,2014-01-07,23:25:20.065420,10771.377000
1044,2014-01-07,23:25:31.728650,11663.230000
1045,2014-01-07,23:25:43.331242,11602.592000
1046,2014-01-07,23:25:55.078629,11747.387000
1047,2014-01-07,23:26:06.708817,11630.188000
1048,2014-01-07,23:27:20.048227,73339.410000
1049,2014-01-07,23:27:29.034682,8986.455000
1050,2014-01-07,23:27:38.373813,9339.131000
1051,2014-01-07,23:27:48.198909,9825.096000
1052,2014-01-07,23:27:57.423520,9224.611000
1053,2014-01-07,23:28:06.667342,9243.822000
1054,2014-01-07,23:28:15.982826,9315.484000
1055,2014-01-07,23:28:26.447359,10464.533000
1056,2014-01-07,23:28:36.829854,10382.495000
1057,2014-01-07,23:28:47.279316,10449.462000
1058,2014-01-07,23:28:57.289355,10010.039000
1059,2014-01-07,23:29:06.727593,9438.238000
1060,2014-01-07,23:29:15.789466,9061.873000
1061,2014-01-07,23:29:25.431017,9641.551000
1062,2014-01-07,23:29:35.880285,10449.268000
1063,2014-01-07,23:29:46.550616,10670.331000
1064,2014-01-07,23:29:57.756020,11205.404000
1065,2014-01-07,23:30:06.838070,9082.050000
